"name","capital","demonym","lat","lon"
"Turkmenistan","Ashgabat","Turkmen",40,60
"Timor-Leste","Dili","East Timorese",-8.83333333,125.91666666
"Tonga","Nuku'alofa","Tongan",-20,-175
"Trinidad and Tobago","Port of Spain","Trinidadian",11,-61
"Tunisia","Tunis","Tunisian",34,9
"Turkey","Ankara","Turkish",39,35
"Tuvalu","Funafuti","Tuvaluan",-8,178
"Taiwan","Taipei","Taiwanese",23.5,121
"Tanzania","Dodoma","Tanzanian",-6,35
"Uganda","Kampala","Ugandan",1,32
"Ukraine","Kyiv","Ukrainian",49,32
"United States Minor Outlying Islands","","American",19.3,166.633333
"Uruguay","Montevideo","Uruguayan",-33,-56
"United States","Washington D.C.","American",38,-97
"Uzbekistan","Tashkent","Uzbekistani",41,64
"Vatican City","Vatican City","Italian",41.9,12.45
"Saint Vincent and the Grenadines","Kingstown","Saint Vincentian",13.25,-61.2
"Venezuela","Caracas","Venezuelan",8,-66
"British Virgin Islands","Road Town","Virgin Islander",18.431383,-64.62305
"United States Virgin Islands","Charlotte Amalie","Virgin Islander",18.35,-64.933333
"Vietnam","Hanoi","Vietnamese",16.16666666,107.83333333
"Vanuatu","Port Vila","Ni-Vanuatu",-16,167
"Wallis and Futuna","Mata-Utu","Wallis and Futuna Islander",-13.3,-176.2
"Samoa","Apia","Samoan",-13.58333333,-172.33333333
"Yemen","Sana'a","Yemeni",15,48
"South Africa","Pretoria","South African",-29,24
"Zambia","Lusaka","Zambian",-15,30
"Zimbabwe","Harare","Zimbabwean",-20,30
