"name","capital","demonym","lat","lon"
"Réunion Island","Saint-Denis","French",-21.15,55.5
"Romania","Bucharest","Romanian",46,25
"Russian Federation","Moscow","Russian",60,100
"Republic of Rwanda","Kigali","Rwandan",-2,30
"Kingdom of Saudi Arabia","Riyadh","Saudi Arabian",25,45
"Republic of the Sudan","Khartoum","Sudanese",15,30
"Republic of Senegal","Dakar","Senegalese",14,-14
"Republic of Singapore","Singapore","Singaporean",1.36666666,103.8
"South Georgia and the South Sandwich Islands","King Edward Point","South Georgian South Sandwich Islander",-54.5,-37
"Svalbard og Jan Mayen","Longyearbyen","Norwegian",78,20
"Solomon Islands","Honiara","Solomon Islander",-8,159
"Republic of Sierra Leone","Freetown","Sierra Leonean",8.5,-11.5
"Republic of El Salvador","San Salvador","Salvadoran",13.83333333,-88.91666666
"Most Serene Republic of San Marino","City of San Marino","Sammarinese",43.76666666,12.41666666
"Federal Republic of Somalia","Mogadishu","Somali",10,49
"Saint Pierre and Miquelon","Saint-Pierre","French",46.83333333,-56.33333333
"Republic of Serbia","Belgrade","Serbian",44,21
"Republic of South Sudan","Juba","South Sudanese",7,30
"Democratic Republic of São Tomé and Príncipe","São Tomé","Sao Tomean",1,7
"Republic of Suriname","Paramaribo","Surinamer",4,-56
"Slovak Republic","Bratislava","Slovak",48.66666666,19.5
"Republic of Slovenia","Ljubljana","Slovene",46.11666666,14.81666666
"Kingdom of Sweden","Stockholm","Swedish",62,15
"Kingdom of Swaziland","Lobamba","Swazi",-26.5,31.5
"Sint Maarten","Philipsburg","St. Maartener",18.033333,-63.05
"Republic of Seychelles","Victoria","Seychellois",-4.58333333,55.66666666
"Syrian Arab Republic","Damascus","Syrian",35,38
"Turks and Caicos Islands","Cockburn Town","Turks and Caicos Islander",21.75,-71.58333333
"Republic of Chad","N'Djamena","Chadian",15,19
"Togolese Republic","Lomé","Togolese",8,1.16666666
"Kingdom of Thailand","Bangkok","Thai",15,100
"Republic of Tajikistan","Dushanbe","Tadzhik",39,71
"Tokelau","Fakaofo","Tokelauan",-9,-172
"Turkmenistan","Ashgabat","Turkmen",40,60
"Democratic Republic of Timor-Leste","Dili","East Timorese",-8.83333333,125.91666666
"Kingdom of Tonga","Nuku'alofa","Tongan",-20,-175
"Republic of Trinidad and Tobago","Port of Spain","Trinidadian",11,-61
"Tunisian Republic","Tunis","Tunisian",34,9
"Republic of Turkey","Ankara","Turkish",39,35
"Tuvalu","Funafuti","Tuvaluan",-8,178
"Republic of China (Taiwan)","Taipei","Taiwanese",23.5,121
"United Republic of Tanzania","Dodoma","Tanzanian",-6,35
"Republic of Uganda","Kampala","Ugandan",1,32
"Ukraine","Kyiv","Ukrainian",49,32
"United States Minor Outlying Islands","","American",19.3,166.633333
"Oriental Republic of Uruguay","Montevideo","Uruguayan",-33,-56
"United States of America","Washington D.C.","American",38,-97
"Republic of Uzbekistan","Tashkent","Uzbekistani",41,64
"Vatican City State","Vatican City","Italian",41.9,12.45
"Saint Vincent and the Grenadines","Kingstown","Saint Vincentian",13.25,-61.2
"Bolivarian Republic of Venezuela","Caracas","Venezuelan",8,-66
"Virgin Islands","Road Town","Virgin Islander",18.431383,-64.62305
"Virgin Islands of the United States","Charlotte Amalie","Virgin Islander",18.35,-64.933333
"Socialist Republic of Vietnam","Hanoi","Vietnamese",16.16666666,107.83333333
"Republic of Vanuatu","Port Vila","Ni-Vanuatu",-16,167
"Territory of the Wallis and Futuna Islands","Mata-Utu","Wallis and Futuna Islander",-13.3,-176.2
"Independent State of Samoa","Apia","Samoan",-13.58333333,-172.33333333
"Republic of Yemen","Sana'a","Yemeni",15,48
"Republic of South Africa","Pretoria","South African",-29,24
"Republic of Zambia","Lusaka","Zambian",-15,30
"Republic of Zimbabwe","Harare","Zimbabwean",-20,30
